id,H,R,coverage,X,X_min,X_max,M,Y,Y_min,Y_max,M_span_0.5,M_span_1,M_span_2,M_span_4
chopin,0.27114583333333325,0.12080928420732451,0.9896907216494846,73.53647689473321,60.58578738763424,86.80234101060074,0.39080436440121447,67.65124930206127,55.12541169314077,78.88595178728369,0.5955593838926743,0.4263440349544073,0.30414701391032295,0.23716702484745344
liszt,0.1274473684210526,0.13188014924714886,0.9895833333333333,84.61899535509615,84.30453853945889,86.16626049349517,0.2623215905667635,76.92635960086703,75.72180703137018,78.23515478658229,0.27074841666306043,0.254982860569743,0.2781039952807724,0.24545108975347824
brahms,0.19677142857142849,0.13995541668536243,1.0,78.76054176355989,65.13947953537847,86.77752434366295,0.36431842257841857,69.46699609217514,68.02855876375529,72.52725801395442,0.3212077221811845,0.37797114193173975,0.3852425871597335,0.3728522390410165
grieg,0.11193717277486896,0.1927353875356526,0.9947916666666666,84.38691862145537,80.0951506012767,87.19208171558098,0.4299616569922685,65.05340376767558,59.45200514028711,71.9710646388406,0.32890602776355465,0.4947109333515862,0.5200008352403164,0.376228831613617
debussy_clair,0.27947434607645866,0.20721820971364457,0.9861111111111112,71.06041118310465,63.05429563742545,85.13488331225966,0.09536980066361313,90.90367099254544,83.9603129139258,95.68905898522692,0.044066220238095234,0.06436972358387799,0.09821729473039215,0.17482596410208714
debussy_arab,0.11053947368421056,0.17929172345717317,0.9895833333333333,84.84645364842687,83.20920809763405,85.6042350490084,0.5200460022645222,59.44931993077377,54.217467003948414,66.48124050603359,0.4082503757769408,0.6100733430441225,0.6121670600145919,0.4496932302224338
satie_gym,0.14547619047619048,0.13375007352066795,0.875,83.06047637148795,78.67983438840535,88.69094628984377,0.4352683340699547,64.70910072160505,51.8868973980575,78.6033885098449,0.5099746928977675,0.6561038863008971,0.3342393804112554,0.24075537666989874
bartok,0.46554687499999997,0.15717488655150916,1.0,59.887682226764625,53.55726822165025,68.23805692923216,0.4003418565262958,67.00909319175047,56.814574004199955,85.82916440090041,0.5653773085921944,0.4929518022486771,0.39022698944573947,0.15281132581857218
ravel_jeux,0.5600759991496597,0.11147439925586936,1.0,55.238041142609006,43.41956065260813,83.07280042327287,0.3828451622976008,68.19184778023386,63.00579276887161,78.23459210023216,0.41533207246821247,0.4086467795871618,0.24545828202369419,0.46194351511133463
schoenberg_19_6,0.7567655249234199,0.13914501985653452,0.863636363636364,44.999939940222696,42.486909614455776,46.6385368709542,0.2869144524951738,75.05759359891545,66.91118376690505,87.24698540262361,0.1364271767617915,0.2576543029129235,0.4018040614218275,0.35177226888415253
scriabin_59_2,0.610238095238095,0.21775796737755557,1.0,50.88685814513261,48.45095872071122,52.58235922102773,0.5482203041002907,57.79775198262455,50.12010360167635,77.7587107374738,0.5932508295315482,0.6907479888898074,0.6573227919842504,0.25155960599555693
casella_31,0.6900833271264709,0.2975256815143368,0.9624137931034482,45.884979748627,39.65584427649131,61.88266701627812,0.5854114266480754,56.03517469397289,39.087367186901446,74.20998184504288,0.301836536458139,0.4635442129594555,0.6056330912683302,0.9706318659063771
szymanowski_1,0.41246198276064827,0.18610752938196728,0.9890991118669691,63.11665516260834,51.77128705604278,81.72647885076194,0.3107592106753943,73.72447344332687,67.26557758501492,81.75951882521225,0.27822087845959953,0.31823938868843127,0.30731564575745635,0.33926092979609024
berg_1,0.6574469589816123,0.14910062321271864,0.9711538461538461,49.55053411554201,36.77636694414125,73.36982459544298,0.3901936282100414,67.69257898787092,51.93611666835303,82.92964174691521,0.187177627479864,0.27745405469418055,0.4409870823946448,0.6551557482714763
webern_27,0.5315965608465608,0.12461309343448257,0.5807364612511672,59.53805035523083,49.84492144802797,67.6052683014919,0.9904295308170554,40.81883967734299,23.690538508733244,69.24834954238726,1.128178369882098,1.16492003074693,0.8215393536238156,0.8470803690153782
